City,WeatherText,window,Count
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 22), end=datetime.datetime(2022, 9, 11, 14, 36, 34))",1
Perth,partly sunny,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 21), end=datetime.datetime(2022, 9, 11, 14, 36, 33))",1
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 21), end=datetime.datetime(2022, 9, 11, 14, 36, 33))",1
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 20), end=datetime.datetime(2022, 9, 11, 14, 36, 32))",1
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 20), end=datetime.datetime(2022, 9, 11, 14, 36, 32))",1
Perth,partly sunny,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 20), end=datetime.datetime(2022, 9, 11, 14, 36, 32))",1
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 19), end=datetime.datetime(2022, 9, 11, 14, 36, 31))",1
Perth,mostly cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 19), end=datetime.datetime(2022, 9, 11, 14, 36, 31))",1
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 19), end=datetime.datetime(2022, 9, 11, 14, 36, 31))",1
Perth,partly sunny,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 18), end=datetime.datetime(2022, 9, 11, 14, 36, 30))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 18), end=datetime.datetime(2022, 9, 11, 14, 36, 30))",1
Perth,mostly cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 18), end=datetime.datetime(2022, 9, 11, 14, 36, 30))",1
Perth,partly sunny,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 17), end=datetime.datetime(2022, 9, 11, 14, 36, 29))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 17), end=datetime.datetime(2022, 9, 11, 14, 36, 29))",2
Perth,mostly cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 17), end=datetime.datetime(2022, 9, 11, 14, 36, 29))",1
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 16), end=datetime.datetime(2022, 9, 11, 14, 36, 28))",2
Perth,partly sunny,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 16), end=datetime.datetime(2022, 9, 11, 14, 36, 28))",2
